Văn bản	Bước	Nội dung chính	Hướng dẫn chi tiết	Input	Đơn vị chịu trách nhiệm	Đơn vị phối hợp	Thời gian	Công cụ	Output	Hướng dẫn thao tác	Link
Dự chi 	B1	Lên dự chi đầu tháng	Các phòng ban điền "Dự chi tháng" vào phiếu chi Lark (Mục 3.0 Dự chi phòng ban_ Tháng)	Kế hoạch chi tháng	Trưởng bộ phận	Kế toán	01 hàng tháng	Lark Docs+ Table 	Kế toán nắm và chuẩn bị nguồn lực	Vào link đính kèm 	#ERROR!
Đề xuất để được chi thực tế	B2	Đề xuất chi cụ thể	Nhân sự điền đầy đủ nội dung vào Phiếu đề xuất chi - Lark	Phiếu đề xuất chi	Người đề xuất	Kế toán	Trước 10h, Thứ 2 hàng tuần  Trước 10h, Thứ 5 hàng tuần	Lark (Ghi mẫu cố định)	Kế toán nhận được đầy đủ thông tin	1. Vào app Lark trên điện thoại hoặc máy tính 2. Vào nơi làm việc/ Vào phê duyệt/ Approval  3. Chọn Đề xuất  4. Chọn "Phiếu đề xuất chi" 5. Điền theo mẫu 	
			Trưởng bộ phận duyệt chi	Phiếu đề xuất chi	Trưởng bộ phận	Người đề xuất 	Trước 10h, Thứ 2 hàng tuần  Trước 10h, Thứ 5 hàng tuần	Mục phê duyệt -Lark 	Xác nhận duyệt/không duyệt chi	1. Vào app Lark trên điện thoại hoặc máy tính  2. Vào nơi làm việc/ Phê duyệt/Approval  3. Chọn " Trung tâm" 4. Chọn " Việc cần làm"  5. Phê duyệt/từ chối	
	B3	Đối soát	Kế toán check và đối soát các khoản:  1. Có đúng trong dự chi không 2. Có minh chứng không 	Phiếu đề xuất chi + tài liệu 	Kế toán 	Trưởng bộ phận 	Trưa T2 hàng tuần  Trưa T5 hàng tuần 	Lark sheet  + File 	Xác thực khoản chi		
	B4	Duyệt chi 2 	Giám đốc duyệt chi	Phiếu đề xuất chi + tài liệu	Giám đốc 	Kế toán	Trưa Thứ 2 hàng tuần (Sau khi kế toán đối soát) Trưa Thứ 5 hàng tuần (Sau khi kế toán đối soát)	Lark sheet + file	Chi tiền theo kế hoạch 		
	B5	Thanh toán 	Kế toán chuyển khoản theo đúng thông tin người nhận 	Đối soát xong	Kế toán 	Trưởng bộ phận 	Chiều thứ 2 hàng tuần  Chiều thứ 5 hàng tuần 	Internet Banking 	Đối chiếu minh bạch 		
	B6	Thông báo	Kế toán gửi lại bill qua phiếu chi 	Bill	Kế toán 	Trưởng bộ phận 	Thứ 2 hàng tuần  Thứ 5 hàng tuần 	Lark+ Tệp đính kèm 	Hoàn tất - Lưu lịch sử		
	B7	Check hoàn tất	Người đề xuất xác nhận lại việc đã nhận chi đúng và đầy đủ	Bill+ check phiếu	Người đề xuất	Trưởng bộ phận 	Thứ 2 hàng tuần  Thứ 5 hàng tuần 	Lark			
