Bước	Nội dung	Hướng dẫn chi tiết	Thời gian	Đơn vị chịu trách nhiệm	Đơn vị phối hợp	Hướng dẫn thao tác
B1	Hoàn thành bảng công	Tính công và xác nhận công làm việc của toàn bộ nhân sự trong tháng	Ngày 04 hàng tháng	HCNS	TBP	1. Vào Lark  2. Vào Attendance_Result check công  3. Điền giờ OT vào bảng công OT 4. Vào bảng công tháng
B2	Chốt bảng lương	Tổng hợp, tính lương offine & online và rà soát các khoản thưởng, phụ cấp, khấu trừ	Ngày 07 hàng tháng	HCNS	TBP	1. Vào Lark  2. Vào Bảng lương 3. Điền lương thưởng
B3	Gửi phiếu lương cho nhân sự	Gửi mail phiếu lương đến từng nhân sự để kiểm tra và phản hồi nếu có sai sót.	Ngày 08 hàng tháng	Kế toán 	TBP	
B4	Trình đề xuất chi lương	Điền Form đề xuất chi lương cho nhân sự, Giám đốc duyệt chi	Ngày 09 hàng tháng	TBP 	Giám đốc	Điền form đề xuất chi
B5	Thực hiện đi lương	Căn cứ bảng lương đã duyệt, tiến hành chuyển lương cho nhân sự.	Ngày 10 hàng tháng	Kế toán 	Giám đốc	
